time_step,time_sec,f_t,I_Ca_pA,n_Ca_excess_fmol,S_E_perturbed,S_E_control
0,0.0,0.0776130961596234,-18.967736993791725,0.09829370883449098,0.00024573427208618437,0.0
1,0.01,0.0811171149540994,-19.824078387236874,0.10273140066972519,0.0005025627737605953,0.0
2,0.02,0.0777864451022062,-19.010101456926918,0.09851324795007989,0.0007488458936358855,0.0
3,0.03,0.0792205864205907,-19.36058889635467,0.1003295273687862,0.0009996697120580045,0.0
4,0.04,0.074711560580822,-18.258635483092487,0.09461903655020204,0.0012362173034334845,0.0
5,0.05,0.076416378018192,-18.67527301431478,0.09677811584347193,0.0014781625930421205,0.0
6,0.06,0.0799058826835781,-19.528067323609264,0.1011974261471175,0.0017311561584097968,0.0
7,0.07,0.078804835182971,-19.258984134784605,0.09980299598271547,0.0019806636483666873,0.0
8,0.08,0.0760177139330783,-18.577844153858614,0.09627322461449248,0.002221346709902927,0.0
9,0.09,0.079070634840362,-19.323942476145746,0.10013962002459317,0.0024716957599644207,0.0
10,0.1,0.0784314150718041,-19.16772460762646,0.09933007518073515,0.002720020947916346,0.0
11,0.11,0.0821863437450898,-20.085385453920377,0.1040855337820406,0.002980234782371527,0.0
12,0.12,0.0795789579562079,-19.44817072687034,0.10078338978530518,0.00323219325683477,0.0
13,0.13,0.082079352876642,-20.059238131446836,0.1039500343651699,0.003492068342747845,0.0
14,0.14,0.0832781476349206,-20.35220961190162,0.10546825730373438,0.0037557389860071178,0.0
15,0.15,0.082651463883566,-20.199055400020562,0.1046745887962925,0.004017425457997881,0.0
16,0.16,0.0848774707864579,-20.743065568015677,0.10749373253881785,0.00428615978934499,0.0
17,0.17,0.0839672795175724,-20.520625419941187,0.10634101373239978,0.00455201232367608,0.0
18,0.18,0.0831365825527031,-20.317612754156336,0.10528897110512689,0.004815234751438857,0.0
19,0.19,0.0838677268559117,-20.496295908597787,0.10621493449032382,0.0050807720876646645,0.0
20,0.2,0.0862869963153198,-21.087537195104254,0.10927883709957119,0.0053539691804136424,0.0
21,0.21,0.083100775887216,-20.308862022035203,0.10524362347533402,0.005617078239101958,0.0
22,0.22,0.0844070654840671,-20.628103989393903,0.10689798408765042,0.005884323199321084,0.0
23,0.23,0.0854924217120309,-20.89335241388983,0.108272541917862,0.006155004554115662,0.0
24,0.24,0.0824991004411754,-20.161819548782375,0.10448162693051966,0.006416208621441988,0.0
25,0.25,0.0836540533552083,-20.444076592987063,0.10594432602470365,0.006681069436503817,0.0
26,0.26,0.0853987423557995,-20.87045827000604,0.10815390096909386,0.006951454188926509,0.0
27,0.27,0.0851466825980549,-20.808857800134497,0.10783467792990878,0.007221040883751417,0.0
28,0.28,0.0851861890130412,-20.818512707954262,0.10788471113620907,0.007490752661591937,0.0
29,0.29,0.0865982923632112,-21.163614324555024,0.10967308039879269,0.007764935362588932,0.0
30,0.3,0.0835381927882082,-20.41576161946392,0.10579759350916683,0.00802942934636186,0.0
31,0.31,0.0842266978034475,-20.584024228406964,0.10666955603672573,0.008296103236453578,0.0
32,0.32,0.0895849564354879,-21.893520247844588,0.11345556432525568,0.008579742147266645,0.0
33,0.33,0.0828543206828248,-20.248631239745205,0.10493149836630151,0.008842070893182452,0.0
34,0.34,0.0863140013340242,-21.094136907235885,0.1093130378153904,0.009115353487720967,0.0
35,0.35000000000000003,0.0826436088734581,-20.197135727011972,0.10466464075769276,0.009377015089615304,0.0
36,0.36,0.085974722975082,-21.011221226783377,0.10888335610086218,0.009649223479867408,0.0
37,0.37,0.0862172703432698,-21.07049697940714,0.10919053210036347,0.009922199810118437,0.0
38,0.38,0.0863840563400964,-21.111257535016822,0.1094017595222927,0.010195704208924239,0.0
39,0.39,0.0850086378162858,-20.77512126282929,0.10765985004316365,0.010464853834032062,0.0
40,0.4,0.0837822333770331,-20.4754022978247,0.10610666060954915,0.010730120485555994,0.0
41,0.41000000000000003,0.0816275742776636,-19.94882870225434,0.10337787584730446,0.010988565175174325,0.0
42,0.42,0.0877969774451396,-21.45655900138687,0.11119116443689107,0.011266543086266512,0.0
43,0.43,0.0836332152306616,-20.438983997981797,0.10591793541991915,0.01153133792481631,0.0
44,0.44,0.0827642077921322,-20.226608698512052,0.10481737419553326,0.011793381360305166,0.0
45,0.45,0.0841816652409316,-20.573018794476052,0.10661252419793778,0.012059912670800088,0.0
46,0.46,0.0791034302400289,-19.33195728996285,0.10018115401338473,0.012310365555833536,0.0
47,0.47000000000000003,0.0811767116749349,-19.838643131879646,0.10280687740000852,0.012567382749333444,0.0
48,0.48,0.0826455054788874,-20.19759923529529,0.10466704272837897,0.012829050356154337,0.0
49,0.49,0.0800409198905205,-19.561068844646293,0.10136844506734877,0.013082471468822687,0.0
50,0.5,0.0775252854425533,-18.94627707698598,0.09818250026939929,0.013327927719496202,0.0
51,0.51,0.0808057750556383,-19.74799054121745,0.1023371018356089,0.0135837704740851,0.0
52,0.52,0.0798341867050061,-19.51054566125644,0.10110662621783927,0.013836537039629726,0.0
53,0.53,0.0814420752246591,-19.903494893604954,0.10314294912994225,0.014094394412454636,0.0
54,0.54,0.080172020820858,-19.593108385514096,0.10153447885948123,0.01434823060960333,0.0
55,0.55,0.0780625777795355,-19.077585068045863,0.09886295832536593,0.01459538800541682,0.0
56,0.56,0.0834899015937848,-20.403959813837513,0.10573643475067375,0.014859729092293494,0.0
57,0.5700000000000001,0.077541576456535,-18.95025841111459,0.09820313215066896,0.015105236922670184,0.0
58,0.58,0.0774688703941688,-18.93248989604363,0.09811105299291925,0.015350514555152461,0.0
59,0.59,0.0808750625608828,-19.76492360073269,0.10242485153512304,0.015606576683990347,0.0
60,0.6,0.0794162981333453,-19.408418560133306,0.10057738798846093,0.01585802015396154,0.0
61,0.61,0.0804056291168812,-19.650199532985166,0.10183033390156586,0.016112595988715617,0.0
62,0.62,0.0791555367553494,-19.344691515591855,0.10024714471468028,0.016363213850502212,0.0
63,0.63,0.076461165340419,-18.686218514374595,0.09683483709579001,0.016605300943241752,0.0
64,0.64,0.080552784719902,-19.686162648920146,0.10201670025869383,0.016860342693888364,0.0
65,0.65,0.0729645873083762,-17.831695556629736,0.09240656867196836,0.01709135911556836,0.0
66,0.66,0.0742883320802328,-18.15520336551605,0.09408303552633078,0.01732656670438415,0.0
67,0.67,0.0743025070658078,-18.158667566940572,0.09410098754697918,0.017561819173251614,0.0
68,0.68,0.0733021826710489,-17.914199932390378,0.09283411894279099,0.01779390447060858,0.0
69,0.6900000000000001,0.0721053548811175,-17.621709156096742,0.09131838708657687,0.01802220043832503,0.0
70,0.7000000000000001,0.071156614436093,-17.389848038230923,0.09011684737643637,0.018247492556766165,0.0
71,0.71,0.0721530663306881,-17.63336927883153,0.0913788116226954,0.018475939585822942,0.0
72,0.72,0.0759515388269812,-18.561671728454993,0.09618941663706788,0.018716413127415676,0.0
73,0.73,0.0718854737485876,-17.567972767547758,0.09103991691738487,0.018944012919709263,0.0
74,0.74,0.0698232455437624,-17.06398820636164,0.08842819197990173,0.019165083399658944,0.0
75,0.75,0.0709545704559655,-17.340470842037703,0.0898609672075333,0.019389735817677778,0.0
76,0.76,0.0671632723205528,-16.413921722676946,0.08505944821825645,0.019602384438223486,0.0
77,0.77,0.0660001720964942,-16.12967357076724,0.08358643089997014,0.019811350515473447,0.0
78,0.78,0.0692528242679159,-16.924583888388444,0.0877057775218347,0.020030614959277937,0.0
79,0.79,0.0673555257639155,-16.460906225683424,0.08530292908578237,0.020243872281992425,0.0
80,0.8,0.0675283754363079,-16.50314867299747,0.0855218358967584,0.020457676871734165,0.0
81,0.81,0.0671577704155029,-16.412577121145567,0.0850524802878456,0.020670308072453847,0.0
82,0.8200000000000001,0.0662030741417081,-16.179260468076478,0.08384339777207069,0.020879916566883927,0.0
83,0.8300000000000001,0.0683005744519816,-16.691865121134523,0.08649979334163094,0.021096166050237897,0.0
84,0.84,0.0693319795122931,-16.943928508450224,0.08780602429626481,0.02131568111097859,0.0
85,0.85,0.0647521803934344,-15.824678929844934,0.08200590210833257,0.021520695866249384,0.0
86,0.86,0.0700008680711987,-17.107397083874456,0.0886531434102423,0.021742328724774995,0.0
87,0.87,0.0659837366937897,-16.125656949716003,0.08356561615648028,0.021951242765166135,0.0
88,0.88,0.0637496617229632,-15.57967503986024,0.0807362545466147,0.02215308340153277,0.0
89,0.89,0.0657068388795218,-16.057986348038323,0.08321493676757175,0.022361120743451757,0.0
90,0.9,0.0690166051122121,-16.86685467721163,0.08740661593621615,0.022579637283292375,0.0
91,0.91,0.0653722578345959,-15.97621863643704,0.08279120400288666,0.022786615293299617,0.0
92,0.92,0.066666143722978,-16.292429281871613,0.0844298558422118,0.022997689932905185,0.0
93,0.93,0.066519127182324,-16.256500151159873,0.08424366560169909,0.023208299096909468,0.0
94,0.9400000000000001,0.0646170511989587,-15.791654928125867,0.08183476668977492,0.023412886013633782,0.0
95,0.9500000000000001,0.0623831335929637,-15.245711476402597,0.07900560437582317,0.023610400024573375,0.0
96,0.96,0.0676531172056536,-16.533634108963366,0.08567981608002988,0.023824599564773452,0.0
97,0.97,0.0664511287217668,-16.23988211915688,0.0841575484228475,0.0240349934358306,0.0
98,0.98,0.0645493470838056,-15.775108830712341,0.08174902228694793,0.024239365991547968,0.0
99,0.99,0.0651130447903887,-15.912869986645129,0.08246292162846623,0.02444552329561911,0.0
100,1.0,0.0645524128525723,-15.775858068901872,0.08175290495362944,0.024649905558003282,0.0
101,1.01,0.0655237125048397,-16.013232394344055,0.08298301494711123,0.02485736309537112,0.0
102,1.02,0.0671411717209161,-16.408520593459627,0.08503145874208233,0.02506994174222632,0.0
103,1.03,0.0658972944458978,-16.10453147084329,0.08345614069981495,0.025278582093976043,0.0
104,1.04,0.0672069331291601,-16.42459191592495,0.08511474278864564,0.025491368950947613,0.0
105,1.05,0.0674095466378113,-16.47410829825792,0.0853713442413739,0.025704797311551064,0.0
